2017-07-04 11:42:07.271 17599 LOG Starting pgqd 3.2.6
2017-07-04 11:42:07.272 17601 LOG auto-detecting dbs ...
2017-07-04 11:42:07.293 17601 LOG postgres: pgq version ok: 3.2.6
2017-07-04 11:42:07.294 17601 LOG londiste: pgq version ok: 3.2.6
2017-07-04 13:23:55.749 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:24:25.750 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:24:55.751 19337 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 13:25:25.751 19337 LOG {ticks: 119, maint: 0, retry: 0}
2017-07-04 13:25:55.751 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:26:25.752 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:26:55.753 19337 LOG {ticks: 119, maint: 4, retry: 0}
2017-07-04 13:27:25.754 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:27:55.755 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:28:25.756 19337 LOG {ticks: 118, maint: 0, retry: 0}
2017-07-04 13:28:55.757 19337 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 13:29:25.758 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:29:55.759 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:30:25.760 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:30:55.761 19337 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 13:31:25.762 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:31:55.763 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:32:25.764 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:32:55.764 19337 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 13:33:25.765 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:33:55.765 19337 LOG {ticks: 119, maint: 0, retry: 0}
2017-07-04 13:34:25.766 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:34:55.767 19337 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 13:35:25.768 19337 LOG {ticks: 119, maint: 0, retry: 0}
2017-07-04 13:35:55.769 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:36:25.769 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:36:55.770 19337 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 13:37:25.771 19337 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 13:37:55.772 19337 LOG {ticks: 120, maint: 0, retry: 0}
